"","df","bias_sq","var","MSEE","MSEP"
"1",1,0.819800268288408,0.707357715320171,1.52715798360858,3.67470667756763
"2",2,0.493519667207188,0.00245535069710042,0.495975017904288,2.64352371186335
"3",3,0.381068535890446,0.0168673557807747,0.397935891671221,2.54548458563029
"4",4,0.246054015448617,0.0258327929703091,0.271886808418926,2.41943550237799
"5",5,0.144977726323127,0.0641144901207924,0.209092216443919,2.35664091040298
"6",6,0.095920209676052,0.0628215738259543,0.158741783502006,2.30629047746107
"7",7,0.0763800842335068,0.0405816945991772,0.116961778832684,2.26451047279174
"8",8,0.0564585708710438,0.0527065264384189,0.109165097309463,2.25671379126852
"9",9,0.0490371950730947,0.0495044062741314,0.0985416013472262,2.24609029530629
"10",10,0.0455972590191039,0.0465098932352625,0.0921071522543664,2.23965584621343
"11",11,0.0439502864833806,0.0443723887025081,0.0883226751858887,2.23587136914495
"12",12,0.0397570613164141,0.0445306529319433,0.0842877142483574,2.23183640820742
"13",13,0.0373108598309971,0.0421303718419625,0.0794412316729597,2.22698992563202
"14",14,0.0364481735222817,0.0403293067381909,0.0767774802604726,2.22432617421953
"15",15,0.0352412644783517,0.0391896808043541,0.0744309452827059,2.22197963924177
"16",16,0.0352220899680671,0.0380392906864755,0.0732613806545426,2.2208100746136
"17",17,0.0348697863029054,0.0378898244778603,0.0727596107807657,2.22030830473982
"18",18,0.0346265553344571,0.0375582581919478,0.0721848135264049,2.21973350748546
"19",19,0.0348107117804458,0.0372981704973706,0.0721088822778164,2.21965757623688
"20",20,0.0347623717146986,0.0371967361067086,0.0719591078214072,2.21950780178047
"21",21,0.0350970266806725,0.037566212875813,0.0726632395564855,2.22021193351554
"22",22,0.0349036782215239,0.0379802955830337,0.0728839738045575,2.22043266776362
"23",23,0.0347522272007815,0.0382395615921922,0.0729917887929737,2.22054048275203
"24",24,0.0348215932268372,0.0382856991318877,0.0731072923587248,2.22065598631778
"25",25,0.0348677058271699,0.0384393387454703,0.0733070445726402,2.2208557385317
"26",26,0.0348153481158967,0.0384755098711898,0.0732908579870866,2.22083955194615
"27",27,0.0347914852355055,0.0385479891682332,0.0733394744037387,2.2208881683628
"28",28,0.0347877455744053,0.0385640904152397,0.073351835989645,2.2209005299487
